id_name,1024x1024,1024x1792,1792x1792,2048x2048,256x256,512x512,768x768,unknown
imagen-unknown-unknown-3-unknown-false-unknown-false,,,,,,,,0.04
imagen-fast-unknown-3-unknown-false-unknown-false,,,,,,,,0.02
imagen-unknown-unknown-2-unknown-false-unknown-false,,,,,,,,0.02
stablediffusion-unknown-unknown-2-50-false-unknown-false,0.02,,,,,,,
ssd-unknown-unknown-1-50-false-unknown-false,0.02,,,,,,,
stablediffusion-xl-turbo-1-50-false-unknown-false,0.02,,,,,,,
stablediffusion-xl-controlnet-v1-50-false-unknown-false,0.02,,,,,,,
stablediffusion-controlnet-unknown-1.5-50-false-unknown-false,0.02,,,,,,,
ideogram-unknown-turbo-2-unknown-false-unknown-false,,,,,,,,0.025
ideogram-default-unknown-2-unknown-false-unknown-false,,,,,,,,0.05
ideogram-quality-unknown-2-unknown-false-unknown-false,,,,,,,,0.075
ideogram-unknown-turbo-1-unknown-false-unknown-false,,,,,,,,0.025
ideogram-default-unknown-1-unknown-false-unknown-false,,,,,,,,0.025
ideogram-default-unknown-0.2-unknown-false-unknown-false,,,,,,,,0.025
stablediffusion-xl-lightning-1-unknown-false-unknown-false,,,,,,,,0.22
photomaker-unknown-unknown-2-unknown-false-unknown-false,,,,,,,,0.33
flux-unknown-unknown-v1-unknown-false-unknown-false,,,,,,,,0.33
aiqr-unknown-unknown-unknown-50-false-unknown-false,,,,,,,,0.0075
stablediffusion-xl-unknown-v1-50-false-unknown-false,,,,,,,,0.0075
opendalle-unknown-unknown-1-50-false-unknown-false,,,,,,,,0.004
midjourney-unknown-unknown-1-unknown-false-unknown-false,,,,,,,,0.033
midjourney-unknown-unknown-2-unknown-false-unknown-false,,,,,,,,0.033
midjourney-unknown-unknown-3-unknown-false-unknown-false,,,,,,,,0.033
midjourney-unknown-unknown-4-unknown-false-unknown-false,,,,,,,,0.033
midjourney-unknown-unknown-5-unknown-false-unknown-false,,,,,,,,0.033
midjourney-unknown-unknown-5.1-unknown-false-unknown-false,,,,,,,,0.033
midjourney-unknown-unknown-5.2-unknown-false-unknown-false,,,,,,,,0.033
midjourney-unknown-unknown-6-unknown-false-unknown-false,,,,,,,,0.033
midjourney-unknown-unknown-6.1-unknown-false-unknown-false,,,,,,,,0.033
stablediffusion-xl-unknown-1-30-false-ddim-false,0.004,,,,,,,
stablediffusion-xl-unknown-1-40-false-dpm2-false,0.0107,,,,,,,
stablediffusion-xl-unknown-1-60-false-unknown-true,0.0192,,,,,,,
stablediffusion-unknown-unknown-1.5-60-false-unknown-false,0.003,,,,,,,
stablediffusion-unknown-unknown-1.5-50-false-unknown-true,,,,,,,,0.0025
juggernaut-unknown-unknown-9-30-false-unknown-false,,,,,,,,0.01
juggernaut-lighting-unknown-9-4-false-unknown-false,,,,,,,,0.007
stablediffusion-unknown-unknown-3-30-false-unknown-false,,,,,,,,0.03
stablediffusion-xl-unknown-1-40-false-ddim-false,0.0053,,,,,,,
stablediffusion-xl-lcm-1-4-false-unknown-true,0.001,,,,,,,
stablediffusion-unknown-unknown-1.5-40-false-unknown-false,0.009,,,,,0.002,,
flux-dev-lora-1-30-false-unknown-false,0.035,,,,,,,
flux-schnell-unknown-1-4-false-unknown-false,0.002,,,,,,,
flux-schnell-loras-1-4-false-unknown-false,0.006,,,,,,,
dalle-unknown-unknown-3-unknown-true-unknown-false,0.08,,0.12,,,,,
core-unknown-unknown-1-unknown-false-unknown-false,,,,,,,,0.624
stablediffusion-unknown-unknown-1.6-unknown-false-unknown-false,,,,,,0.1302857142857142,,
stablediffusion-unknown-unknown-1.6-unknown-true-unknown-false,,,,,,0.01,,
stablediffusion-xl-unknown-1.0-30-False,0.8,,,,,,,
stablediffusion-unknown-unknown-1.6-30-False,,,,,,0.2,,
stablediffusion-unknown-unknown-1.6-30-True,0.3,,,,,,,
stablediffusion-xl-unknown-0.9-30-False,1.6000000000000003,,,,,,,
stablediffusion-xl-unknown-0.8-30-False,,,,,,0.5,,
stablediffusion-unknown-unknown-1.5-30-False,,,,,,0.2,,
stablediffusion-unknown-unknown-1.5-30-True,1.9,,,,,,,
stablediffusion-unknown-unknown-2.1-30-False,,,,,,0.2,,
stablediffusion-unknown-unknown-2.1-30-True,1.9,,,,,,,
stablediffusion-x4-unknown-unknown-512x512-False,,,,,,,,8.0
ultra-unknown-unknown-v1-unknown-false-unknown-false,,,,,,,,4.04
stablediffusion-large-turbo-3-unknown-false-unknown-false,,,,,,,,1.36
stablediffusion-large-unknown-unknown-unknown-False,,,,,,,,6.5
stablediffusion-large-turbo-unknown-unknown-False,,,,,,,,4.0
stablediffusion-medium-unknown-unknown-unknown-False,,,,,,,,3.5
controlnet-unknown-unknown-1-25-false-unknown-false,0.01,,,,,0.001,,
controlnet-unknown-unknown-1-50-false-unknown-false,0.02,,,,,0.002,,
controlnet-unknown-unknown-1-75-false-unknown-false,0.035,,,,,0.0035,,
controlnet-unknown-unknown-1-100-false-unknown-false,0.05,,,,,0.005,,
controlnet-unknown-unknown-1-unknown-false-unknown-false,,,,,,,,0.0
flux-schnell-free-1-unknown-false-unknown-false,,,,,,,,0.0
cogview-unknown-unknown-3-unknown-false-unknown-false,,,,,,,,0.07125
cogview-plus-unknown-3-unknown-false-unknown-false,,,,,,,,0.009
