name,id_name,2024-06-10,2024-07-03,2024-08-26,2024-09-27,2024-10-21
openai: gpt-3.5 turbo 16k,gpt-turbo-unknown-3.5-unknown-16-unknown-false,,,,,
openai: gpt-3.5 turbo 16k (older v1106),gpt-turbo-unknown-3.5-unknown-16-unknown-false,,,,,
openai: gpt-3.5 turbo instruct,gpt-turbo-unknown-3.5-unknown-unknown-unknown-instruct-false,,,,,
openai: gpt-4 32k,gpt-unknown-unknown-4-unknown-32-unknown-false,,,,,
openai: gpt-4 32k (older v0314),gpt-unknown-unknown-4-unknown-32-unknown-false,,,,,
openai: gpt-4 turbo (older v1106),gpt-turbo-unknown-4-unknown-unknown-unknown-false,,,,,
openai: gpt-4 vision,gpt-unknown-unknown-4-unknown-unknown-unknown-false,,,,,
openai: gpt-4o,gpt-4o-unknown-unknown-unknown-unknown-unknown-false,,,,,
openai: gpt-4o (2024-05-13),gpt-4o-unknown-unknown-20240513-unknown-unknown-unknown-false,,,,,
openai: o1-mini,o1-mini-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,
openai: o1-mini (2024-09-12),o1-mini-unknown-unknown-20240912-unknown-unknown-unknown-false,,,,,
openai: o1-preview,o1-preview-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,
openai: o1-preview (2024-09-12),o1-preview-unknown-unknown-20240912-unknown-unknown-unknown-false,,,,,
openchat 3.5 7b,openchat-unknown-unknown-3.5-unknown-7-unknown-unknown-false,,,,,
openchat 3.5 7b (free),openchat-unknown-unknown-3.5-unknown-7-unknown-unknown-false,,,,,
openchat 3.6 8b,openchat-unknown-unknown-3.6-unknown-8-unknown-unknown-false,,,,,
openhermes 2.5 mistral 7b,openhermes-mistral-unknown-2.5-unknown-7-unknown-unknown-false,,,,,
perplexity: llama 3.1 sonar 405b online,llama-sonar-unknown-3.1-unknown-405-unknown-online-false,,,,,
perplexity: llama 3.1 sonar 70b,llama-sonar-unknown-3.1-unknown-70-unknown-unknown-false,,,,,
perplexity: llama 3.1 sonar 70b online,llama-sonar-unknown-3.1-unknown-70-unknown-online-false,,,,,
perplexity: llama 3.1 sonar 8b,llama-sonar-unknown-3.1-unknown-8-unknown-unknown-false,,,,,
perplexity: llama 3.1 sonar 8b online,llama-sonar-unknown-3.1-unknown-8-unknown-online-false,,,,,
perplexity: llama3 sonar 70b,llama-sonar-unknown-3-unknown-70-unknown-unknown-false,,,,,
perplexity: llama3 sonar 70b online,llama-sonar-unknown-3-unknown-70-unknown-online-false,,,,,
perplexity: llama3 sonar 8b,llama-sonar-unknown-3-unknown-8-unknown-unknown-false,,,,,
perplexity: llama3 sonar 8b online,llama-sonar-unknown-3-unknown-8-unknown-online-false,,,,,
phi-3 medium 128k instruct (free),phi-medium-unknown-3-unknown-unknown-128-instruct-false,,,,,
phi-3 medium instruct,phi-medium-unknown-3-unknown-unknown-unknown-instruct-false,,,,,
phi-3 medium instruct (free),phi-medium-unknown-3-unknown-unknown-unknown-instruct-false,,,,,
phi-3 mini 128k instruct,phi-mini-unknown-3-unknown-unknown-128-instruct-false,,,,,
phi-3 mini instruct,phi-mini-unknown-3-unknown-unknown-unknown-instruct-false,,,,,
phi-3 mini instruct (free),phi-mini-unknown-3-unknown-unknown-unknown-instruct-false,,,,,
phi-3.5 mini 128k instruct,phi-mini-unknown-3.5-unknown-unknown-128-instruct-false,,,,,
pygmalion: mythalion 13b,mythalion-unknown-unknown-unknown-unknown-13-unknown-unknown-false,,,,,
qwen 1.5 110b chat,qwen-unknown-unknown-1.5-unknown-110-unknown-chat-false,,,,,
qwen 1.5 14b chat,qwen-unknown-unknown-1.5-unknown-14-unknown-chat-false,,,,,
qwen 1.5 32b chat,qwen-unknown-unknown-1.5-unknown-32-unknown-chat-false,,,,,
qwen 1.5 4b chat,qwen-unknown-unknown-1.5-unknown-4-unknown-chat-false,,,,,
qwen 1.5 72b chat,qwen-unknown-unknown-1.5-unknown-72-unknown-chat-false,,,,,
qwen 1.5 7b chat,qwen-unknown-unknown-1.5-unknown-7-unknown-chat-false,,,,,
qwen 2 72b instruct,qwen-unknown-unknown-2-unknown-72-unknown-instruct-false,,,,,
qwen 2 7b instruct,qwen-unknown-unknown-2-unknown-7-unknown-instruct-false,,,,,
qwen2-vl 72b instruct,qwen-vl-unknown-2-unknown-72-unknown-instruct-false,,,,,
qwen2-vl 7b instruct,qwen-vl-unknown-2-unknown-7-unknown-instruct-false,,,,,
qwen2.5 72b instruct,qwen-unknown-unknown-2.5-unknown-72-unknown-instruct-false,,,,,
qwen2.5 7b instruct,qwen-instruct-unknown-2.5-unknown-7-unknown-instruct-false,,,,,
rocinante 12b,rocinante-unknown-unknown-unknown-12-unknown-unknown-false,,,,,
snowflake: arctic instruct,snowflake-arctic-unknown-unknown-unknown-unknown-unknown-instruct-false,,,,,
starcoder2 15b instruct,starcoder2-unknown-unknown-unknown-15-unknown-unknown-instruct-false,,,,,
toppy m 7b,toppy-m-unknown-unknown-unknown-7-unknown-unknown-false,,,,,
toppy m 7b (free),toppy-m-unknown-unknown-unknown-7-unknown-unknown-false,,,,,
toppy m 7b (nitro),toppy-m-nitro-unknown-unknown-7-unknown-unknown-false,,,,,
xai: grok beta,grok-beta-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,
xwin 70b,xwin-unknown-unknown-unknown-unknown-70-unknown-unknown-false,,,,,
yi large,yi-large-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,
